Date,RSI_14,MACD_Histogram,MACD,Close,rolling_logvol_30,OBV,Volume,Low,MACD_Signal,High,log_returns
2014-06-03,53.11964766332275,0.106655578298296,-0.06460145126996508,15.3595,0.02566829071088908,1730130860.0,47585460,15.2535,-0.17125702956826108,15.396,-0.0013355703403903178
2014-06-04,63.368359603035564,0.0864857443169311,-0.0631498491720972,15.339,0.025665598951142468,1687913460.0,42217400,15.192,-0.1496355934890283,15.475,0.053284595521074375
2014-06-05,79.18552036199091,0.12424908542186851,0.005675763288307323,16.1785,0.027479934785100055,1843967760.0,156054300,15.345,-0.11857332213356118,16.397,0.018676680285905013
2014-06-06,80.61674008810567,0.16195047146788466,0.08386476720129465,16.4835,0.026773592796843906,1948887960.0,104920200,16.2465,-0.07808570426659002,16.544,-0.006604099051635779
2014-06-09,78.76122754491017,0.17087893445582436,0.13551296380319044,16.375,0.018413194933554162,1884728180.0,64159780,16.2825,-0.03536597065263393,16.65,0.014881091689325434
2014-06-10,78.95029673590503,0.18350702724627546,0.1940178134052104,16.6205,0.01783496046861576,1958097080.0,73368900,16.375,0.01051078615893494,16.775,0.008358221843296161
2014-06-11,78.54036679901682,0.1906090688327683,0.2487721221998953,16.76,0.017777237342090607,2046862960.0,88765880,16.694,0.058163053367127016,17.036,-0.028106098976189223
2014-06-12,66.91365979381443,0.15489488225650455,0.2517816561877577,16.2955,0.018608873278660797,1961437080.0,85425880,16.233,0.09688677393125317,16.7775,0.001103989808224248
2014-06-13,62.72908727998549,0.12465549605457488,0.2527061439994718,16.3135,0.018513790980662373,2016775060.0,55337980,16.1765,0.1280506479448969,16.465,0.004129140736522296
2014-06-16,65.26162790697673,0.10230766652394074,0.25593523109982286,16.381,0.01851563190400229,2065771920.0,48996860,16.176,0.15362756457588211,16.4345,-0.006123342873116877
2014-06-17,63.71053565094003,0.07515498342586902,0.2475712938582184,16.281,0.01855365965297258,2007312760.0,58459160,16.2615,0.1724163104323494,16.567,0.026547013506131627
2014-06-18,66.74252275682704,0.08057670943727746,0.27313719722894625,16.719,0.017189111124812126,2135413360.0,128100600,16.25,0.1925604877916688,16.7875,-0.022317899912246635
2014-06-19,60.67681395005174,0.05444672285018573,0.26061889135440097,16.35,0.017484357640562893,2028994080.0,106419280,16.299,0.20617216850421524,16.945,-0.008599561595677738
2014-06-20,61.50389454763331,0.024400661058685297,0.23667299482757187,16.21,0.01728211569858,1907880180.0,121113900,16.021,0.21227233376888657,16.411,0.00933323734392153
2014-06-23,64.7101980924431,0.012054287196372276,0.2273401927643519,16.362,0.01721892520061494,1960045140.0,52164960,16.0705,0.21528590556797964,16.3775,-0.009456625585178952
2014-06-24,62.27054504377291,-0.008106727139635173,0.2051524966434357,16.208,0.016279953875549022,1907498920.0,52546220,16.137,0.21325922378307088,16.4865,0.010067611123829145
