Date,Volume,ATR_14,Bollinger_Upper,High,EMA_20,Close,Open,SMA_20,OBV,Low,rolling_logvol_30
2022-03-04,67179861.0,17.06128571428571,321.21441679521223,285.217,289.7572597925941,279.43,283.033,289.87669999999997,16637969767.5,275.054,0.04445631376735334
2022-03-07,72494172.0,17.43835714285714,319.47492636464915,288.713,287.70352076472795,268.193,285.433,287.8977,16565475595.5,268.19,0.044741656137302674
2022-03-08,80399106.0,17.92835714285714,317.8303055746482,283.33,286.47461402523004,274.8,265.177,286.51535,16645874701.5,260.723,0.04545458659368919
2022-03-09,59183979.0,18.18878571428571,315.209613518096,286.853,286.46017459425576,286.323,279.827,285.46485,16705058680.5,277.337,0.045419093962111884
2022-03-10,58648644.0,18.172571428571423,311.26052659225775,284.817,285.7909198709933,279.433,283.817,283.90315,16646410036.5,270.12,0.04063029963029544
2022-03-11,67037166.0,18.190928571428568,309.34966108305196,281.267,283.82197512137486,265.117,280.066,282.08315000000005,16579372870.5,264.59,0.04091899507519759
2022-03-14,71152263.0,17.923785714285707,310.15437004013484,266.9,281.12054891933917,255.457,260.203,280.52265,16508220607.5,252.013,0.0370649224264938
2022-03-15,66841143.0,17.31092857142857,308.9754069601887,268.523,279.8040204508307,267.297,258.423,279.2915,16575061750.5,252.19,0.03825500323442932
2022-03-16,84028821.0,15.825928571428564,304.49431824088754,280.667,279.8300185031325,280.077,269.667,277.9215,16659090571.5,267.42,0.03864541116813076
2022-03-17,66582972.0,16.115999999999996,300.4795985670844,291.667,280.84935007426276,290.533,276.997,277.05830000000003,16725673543.5,275.239,0.03918866306978878
2022-03-18,100414191.0,15.48435714285714,302.6156682921915,302.617,282.8443643529044,301.797,291.497,277.54229999999995,16826087734.5,289.13,0.038767578663867985
2022-03-21,81981648.0,15.516642857142855,306.7780060060675,314.283,285.1499487002468,307.053,304.993,278.61195000000004,16908069382.5,302.363,0.04101809166154962
2022-03-22,105868557.0,16.33792857142857,318.0755214120153,332.62,289.5477631097471,331.327,310.0,281.48615,17013937939.5,307.25,0.04094735848299421
2022-03-23,120676149.0,16.58692857142857,326.4204138184508,346.9,293.6895951945331,333.037,326.647,285.404,17134614088.5,325.467,0.0409804063331103
2022-03-24,68920878.0,16.71078571428571,335.206829698968,341.497,297.90706231886327,337.973,336.577,288.9565,17203534966.5,329.6,0.04053342364592804
2022-03-25,62031546.0,15.827714285714281,342.2972564302528,340.6,301.6187706694477,336.88,336.0,292.30264999999997,17141503420.5,332.44,0.04134729490508042
2022-03-28,102506079.0,16.290071428571427,355.33722493061447,365.96,307.5547925104527,363.947,355.033,295.99285,17244009499.5,351.2,0.04130249343617891
2022-03-29,73614819.0,16.421071428571427,366.92985489710827,371.59,313.17081227136197,366.523,369.33,299.91285000000005,17317624318.5,357.703,0.040495947535666786
2022-03-30,59865006.0,15.97685714285714,376.3584544543836,371.317,318.07483015027987,364.663,363.723,303.48114999999996,17257759312.5,361.333,0.04066655158162395
2022-03-31,48992757.0,15.416571428571427,383.4782865191304,367.713,321.9915129931104,359.2,364.857,307.453,17208766555.5,358.88,0.03919328485780612
2022-04-01,54263223.0,15.022499999999996,390.03866849331735,364.917,325.75708318424273,361.53,360.383,311.558,17263029778.5,355.547,0.03971338204264978
2022-04-04,82177701.0,15.69821428571428,398.8887154092693,383.303,331.0961228809815,381.817,363.127,317.23920000000004,17345207479.5,357.51,0.040008870895994704
2022-04-05,80075019.0,16.30442857142857,403.2935732454086,384.29,334.20630165422136,363.753,378.767,321.68685,17265132460.5,362.433,0.03822536313765801
2022-04-06,89348535.0,16.64428571428571,405.47163630156354,359.667,335.57589197286694,348.587,357.823,324.80005,17175783925.5,342.567,0.037600283690179336
2022-04-07,79447059.0,16.991642857142857,407.05686620063705,358.863,337.18009273735584,352.42,350.797,328.44939999999997,17255230984.5,340.513,0.038290652948945576
2022-04-08,55013688.0,16.92892857142857,405.15795829346285,349.48,337.6229410480839,341.83,347.737,332.28504999999996,17200217296.5,340.812,0.037689194645553294
2022-04-11,59357205.0,16.31342857142857,399.23397354859225,336.156,336.4502799958854,325.31,326.8,335.7777,17140860091.5,324.88,0.03765590921216802
2022-04-12,65976096.0,15.860142857142856,393.71706673522874,340.397,335.73911047246776,328.983,332.547,338.86199999999997,17206836187.5,325.533,0.038003185920986796
2022-04-13,55121211.0,16.275642857142856,389.2637708850253,342.08,336.220147570328,340.79,327.025,341.89765,17261957398.5,324.366,0.03757033226834187
2022-04-14,58422405.0,16.64942857142857,385.16165695974894,337.57,335.46899065886817,328.333,333.097,343.78765,17203534993.5,327.397,0.03763493988249859
2022-04-18,51715221.0,15.560642857142856,382.12807423438676,338.307,335.4017534532617,334.763,329.677,345.43595,17255250214.5,324.47,0.03668411057708202
2022-04-19,49847832.0,15.511928571428573,379.224174942805,344.98,336.0984436005701,342.717,335.02,347.21915,17305098046.5,331.775,0.038082239732388196
2022-04-20,70711326.0,16.197642857142856,379.6199037459657,344.667,335.1112584957539,325.733,343.333,346.93945,17234386720.5,325.083,0.037821731101566385
2022-04-21,105416337.0,18.30528571428571,379.523173100917,364.073,335.2206624485392,336.26,358.243,347.1006,17339803057.5,332.138,0.03744827783388279
2022-04-22,69696558.0,18.608642857142854,379.5768912959167,344.95,335.2012660248688,335.017,338.303,346.9528,17270106499.5,331.333,0.03587906501660204
2022-04-25,68341335.0,17.55964285714285,379.6926205991924,336.207,334.9604787844051,332.673,326.323,346.74245,17201765164.5,325.1,0.04313273633233841
2022-04-26,136133667.0,18.974571428571426,383.111972029194,333.333,330.88233794779507,292.14,331.81,343.15209999999996,17065631497.5,291.667,0.042440571838347575
2022-04-27,76956396.0,18.451285714285714,383.5426169515915,306.0,327.35421052419554,293.837,299.527,339.51779999999997,17142587893.5,292.453,0.04165133878317412
2022-04-28,124948527.0,19.00485714285714,382.9800352418851,300.0,324.0350476171293,292.503,299.993,335.9098,17017639366.5,273.9,0.0411428070222548
2022-04-29,88132995.0,19.709071428571427,382.364583689116,311.467,320.81770974883125,290.253,300.75,332.46245000000005,16929506371.5,290.0,0.04108827855226019
2022-05-02,75781371.0,19.887142857142855,379.2587787251357,302.12,318.92840405846636,300.98,286.923,329.43494999999996,17005287742.5,282.677,0.04098112566984735
