Date,RSI_14,MACD_Histogram,MACD,rolling_logvol_30,OBV,Close,Low,High,Open,MACD_Signal,log_returns
2010-07-01,25.839903580575495,-0.14387319043685476,-0.7410788676493922,0.02127224560566166,-1751538068.4784305,17.7975,17.4674,17.9218,17.7451,-0.5972056772125375,0.004837277132814166
2010-07-02,28.263017863930088,-0.13167845298924719,-0.7618037434490965,0.02035440041146396,-1670236683.1973386,17.8838,17.7168,18.0439,17.9129,-0.6301252904598493,0.023410074567213897
2010-07-06,20.093141405588483,-0.08435433132842873,-0.7355682046203853,0.0209801793168431,-1574507452.0322256,18.3074,18.1217,18.5151,18.2285,-0.6512138732919566,0.01984289735404756
2010-07-07,29.045285660438296,-0.020918801823138544,-0.6773623755708797,0.021149236914833135,-1467944406.1819756,18.6743,18.146,18.6888,18.3074,-0.6564435737477412,0.0046053486249671045
2010-07-08,29.9784786247575,0.03142371065749583,-0.6171639354258716,0.021165607514874347,-1401900249.7273076,18.7605,18.4225,18.9227,18.6743,-0.6485876460833674,-0.005859193376804769
2010-07-09,28.173326006750912,0.06150233440994002,-0.5717097280709424,0.01984465656780465,-1471905495.3165915,18.6509,18.5588,18.7605,18.7605,-0.6332120624808825,0.02274626372201131
2010-07-12,38.84932920536631,0.11028801210889538,-0.49535204734476324,0.018919733276624464,-1407028881.5950005,19.08,18.7664,19.1297,18.784,-0.6056400594536586,0.012194733102566522
2010-07-13,43.82509256693784,0.15554566983316498,-0.4112079721622024,0.01904397489051626,-1326781153.9907894,19.3141,19.1383,19.4442,19.3218,-0.5667536419953674,0.012047811458563762
2010-07-14,51.26074424160587,0.19586503173856185,-0.32192235232216504,0.019175283244613525,-1232138370.5253835,19.5482,19.3063,19.6823,19.6073,-0.5177873840607269,0.003018735292888474
2010-07-15,55.384238197717174,0.2193610507248639,-0.2435860706546471,0.018718014678329665,-1158083230.1333306,19.6073,19.1975,19.6656,19.5909,-0.462947121379511,-0.024659844719559107
2010-07-16,53.67920792079209,0.19632991577347841,-0.21753472666266305,0.018937506776928934,-1242720650.8537517,19.1297,19.1217,19.7064,19.6073,-0.41386464243614146,0.01360819514776594
2010-07-19,59.142444856730556,0.1921022426004268,-0.173736839185608,0.01773079638249519,-1194011632.7084246,19.3918,19.1452,19.4442,19.1752,-0.3658390817860348,0.00976558734714539
2010-07-20,75.27712157005273,0.194861888468793,-0.12226172120004364,0.017462076828520547,-1134823778.4714475,19.5821,18.9839,19.5821,19.1131,-0.3171236096688366,-0.01418441613321219
2010-07-21,74.22726593997312,0.17166684258319254,-0.10254005643984598,0.017611134336175498,-1229813129.5841296,19.3063,19.1975,19.7141,19.6734,-0.2742068990230385,0.028271155841323423
2010-07-22,77.21993453700772,0.18595892827695473,-0.04175823867684514,0.018164932619604286,-1135163198.8226895,19.8599,19.5744,19.9743,19.5995,-0.22771716695379987,-0.0011890308281629677
2010-07-23,76.20312961322708,0.18573861348090015,0.004456099897325316,0.018120580446643483,-1276338293.4860895,19.8363,19.4065,19.9978,19.8521,-0.18128251358357483,0.011059641671523816
2010-07-26,74.83180514945923,0.19159469410849655,0.058210854052045846,0.017600055259320103,-1188872357.1369205,20.0569,19.8286,20.1346,19.8979,-0.1333838400564507,0.0022759257324691277
2010-07-27,72.30673121974078,0.1893539637798805,0.10330861466839991,0.017555392170721856,-1109945703.1877055,20.1026,19.9541,20.1666,20.0569,-0.08604534911148058,-0.007900757756077612
2010-07-28,68.08309149228661,0.16871177435341525,0.12484436883028849,0.01585916469613697,-1200981381.2578096,19.9444,19.8521,20.1259,20.0404,-0.04386740552312677,0.003013844930670793
2010-07-29,70.99345553797966,0.15117125405640483,0.14509666204737925,0.015784205507259952,-1110642715.9418497,20.0046,19.6734,20.2958,20.0869,-0.006074592009025569,-0.008448654578586288
2010-07-30,62.76111092363253,0.12156741688959076,0.14588467910296288,0.01584622590824406,-1219309180.1187496,19.8363,19.4831,19.8599,19.7665,0.02431726221337212,0.02002866778388921
2010-08-02,64.75003992972375,0.12202787305326457,0.17685210352995284,0.016285754788557472,-1147865418.6481717,20.2376,19.7888,20.2755,19.9655,0.054824230476688274,-0.006693100379896171
2010-08-03,59.14428976710431,0.10680436864956996,0.18832969128865074,0.015961354995852488,-1221637336.6212556,20.1026,19.9599,20.2539,20.1898,0.08152532263908077,-0.0164609880801188
2010-08-04,52.531434631116525,0.06997550145751752,0.16899469946097767,0.016200816609078177,-1323763186.6132855,19.7744,19.5482,20.1666,20.1026,0.09901919800346015,-0.01414808046028481
2010-08-05,55.91640597284488,0.02459236344418292,0.1297596523086888,0.016068357969394955,-1408198456.2611015,19.4966,19.3753,19.6579,19.5995,0.10516728886450588,0.007088875359011802
2010-08-06,54.089275518086886,0.002750639299817323,0.10860558798927755,0.015940830902326314,-1335373052.4360554,19.6353,19.2288,19.6423,19.3529,0.10585494868946023,0.002390787961988727
2010-08-09,51.7678193366267,-0.009049152468513469,0.0945435081038184,0.015501766726176468,-1261113252.2086973,19.6823,19.4966,19.7744,19.6353,0.10359266057233187,-0.021248116521502464
2010-08-10,49.36406460296095,-0.04332284562362079,0.049439103542805896,0.015941338736147812,-1374619621.1805272,19.2685,19.1217,19.4752,19.4674,0.09276194916642669,-0.008500620585352526
2010-08-11,35.38640325392208,-0.07378823129878075,0.0005266600429507662,0.013855264334081876,-1474337436.9427202,19.1054,18.8762,19.1383,18.9607,0.07431489134173151,-0.014955245090404976
2010-08-12,32.148513109273196,-0.10779144795100935,-0.06042441859703018,0.013938107943878767,-1565698772.1847873,18.8218,18.7219,18.9702,18.9702,0.04736702935397917,-0.003619373967817984
2010-08-13,25.76890178139756,-0.12822483688298475,-0.11291401674975177,0.013950927044848292,-1624572258.6819513,18.7538,18.6267,18.9607,18.7052,0.015310820133232986,0.003980591913653318
2010-08-16,26.56364974245774,-0.1296763559451358,-0.14678462479818677,0.013945253999398142,-1571311780.6301403,18.8286,18.6743,18.914,18.7052,-0.017108268853050966,0.008682969516695976
2010-08-17,32.53303964757704,-0.11315345789372155,-0.15855009122020292,0.013403950850570513,-1502580253.2252152,18.9928,18.9064,19.1832,18.9839,-0.04539663332648136,0.0041246272099116285
2010-08-18,32.98326222513951,-0.0914419752065398,-0.15969910233465612,0.01295065189896383,-1442759406.0270822,19.0713,18.7605,19.1752,18.9702,-0.06825712712811632,-0.015179143543546846
2010-08-19,31.611505259846936,-0.09075262665442997,-0.1816979104461538,0.013245373947370137,-1513062734.0258942,18.784,18.6064,19.0131,18.8898,-0.09094528379172383,-0.008887331301491873
2010-08-20,19.16076460284829,-0.09534051862013238,-0.2101209320668893,0.013303304714802284,-1577491510.948394,18.6178,18.5995,18.7538,18.6822,-0.11478041344675693,0.0022372874319736657
2010-08-23,21.51289036282536,-0.08951058519225119,-0.22666864493707095,0.012599292881911483,-1510227996.954013,18.6595,18.6267,18.9383,18.7908,-0.13715805974481976,-0.009985648607516835
2010-08-24,22.798209279946576,-0.09174555410149904,-0.25184000237169357,0.012463979673937798,-1596718753.760647,18.4741,18.4433,18.713,18.5237,-0.16009444827019453,0.0026812421124919337
2010-08-25,27.498959248809086,-0.08371202911603082,-0.2647344846652331,0.0122284599212646,-1535100134.00881,18.5237,18.3421,18.613,18.4373,-0.18102245554920227,-0.011745643585223621
2010-08-26,20.352757311900163,-0.08644186190721406,-0.28907478293321986,0.012324794554538807,-1598939758.495352,18.3074,18.2848,18.5916,18.5151,-0.2026329210260058,0.004539752361195621
2010-08-27,21.623165480270757,-0.07645806591771082,-0.29820550342314434,0.011630414925870483,-1519682516.357832,18.3907,18.0664,18.4606,18.3074,-0.22174743750543352,-0.012166784840650665
2010-08-30,23.60871233928239,-0.07836377722656052,-0.3197021590386342,0.011440604572581321,-1578767605.042255,18.1683,18.1381,18.3074,18.246,-0.24133838181207368,-0.007142236490922878
2010-08-31,23.997854286550407,-0.081501669435048,-0.3432154686058837,0.011247053503470043,-1664735545.382978,18.039,17.9236,18.2422,18.1247,-0.2617137991708357,0.01803038445614257
2010-09-01,39.15139366170299,-0.055865035278113484,-0.3315450932684776,0.011647070252288666,-1580044136.8307579,18.3672,18.0896,18.4065,18.1897,-0.2756800579903641,0.0017135447633606043
2010-09-02,41.37562539466664,-0.03234437331454659,-0.3161105246335474,0.010214686050182087,-1516567852.450167,18.3987,18.2216,18.4065,18.3421,-0.2837661513190008,0.014391532676737939
2010-09-03,46.37430018661691,0.0037006802045233544,-0.27914030106334664,0.01067198335628255,-1433125216.5773299,18.6654,18.5995,18.7908,18.5995,-0.28284098126787,-0.0135168534951084
2010-09-07,37.63371844244763,0.012684926354065762,-0.26698482332528783,0.010575534868564768,-1500635971.401512,18.4148,18.3828,18.6743,18.6654,-0.2796697496793536,-0.0013095870695591057
2010-09-08,35.09156225357049,0.01866280301206602,-0.2563412459142711,0.010535825406277973,-1585633080.3097658,18.3907,18.246,18.5995,18.4829,-0.2750040489263371,0.003262627922989185
2010-09-09,41.89452174759179,0.027773886333727238,-0.2402866910091781,0.010552680211289188,-1525816216.6478088,18.4508,18.4373,18.6064,18.5995,-0.26806057734290534,-0.006650504537554689
2010-09-10,42.80884911757396,0.02666754066342003,-0.2347261515136303,0.010523034493072918,-1601631186.1025338,18.3285,18.2848,18.4673,18.4373,-0.26139369217705033,0.051523510404291956
2010-09-13,60.85610262343047,0.08880492248476238,-0.15038753907109736,0.014413301775616895,-1452538382.8046138,19.2976,18.5151,19.4365,18.5916,-0.23919246155585974,-0.0031660214019627562
2010-09-14,63.54592289927159,0.12138392335073181,-0.08746255736744502,0.013862531252087005,-1565880670.8688538,19.2366,19.1297,19.4831,19.2616,-0.20884648071817682,0.0031660214019627615
